trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-134.7294439877085,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-136.92850598984634,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.72242236210418,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-69.31196258160877,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-75.73179649525144,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-101.88737644749791,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-132.72640725529675,"{0: 9, 1: 2, 2: 5, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-59.0688053694687,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-94.05089866460263,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-167.05117671932575,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-95.1340492903606,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-170.31154748741486,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-28.91753516595565,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-28.64061138704428,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-150.30185829022173,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-152.29238720862966,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-205.46528923969083,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-96.56277886284732,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-88.78833531268353,"{0: 27, 1: 1, 2: 3, 3: 4, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,-111.2731678779558,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",20,0,-96.27501773720041,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-161.88324402849025,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-28.05708318232733,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-236.38250557211788,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,2,-123.12575731187032,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",30,0,-215.53970327312322,"{0: 16, 1: 0, 2: 9, 3: 3, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-63.2896489696011,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-70.9208950758593,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-33.81040169829269,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-84.54851205828446,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
