trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.18, 'e': 0.9999875000260416}",30,0,-56.820805103946796,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.18, 'e': 0.9999500004166653}",20,15,3.1273883616231988,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.18, 'e': 0.9998875021093592}",20,0,-157.3627034548909,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.18, 'e': 0.9998000066665778}",25,0,-39.0780079537282,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.18, 'e': 0.9996875162757026}",20,0,-208.37657345933997,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.18, 'e': 0.9995500337489875}",25,0,-221.65572911687252,"{0: 15, 1: 2, 2: 1, 3: 3, 4: 4}",0
7,False,"{'a': 0.18, 'e': 0.9993875625234886}",25,0,-114.37519148263422,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.18, 'e': 0.9992001066609779}",25,0,-223.0551430542655,"{0: 13, 1: 3, 2: 2, 3: 4, 4: 3}",0
9,False,"{'a': 0.18, 'e': 0.9989876708478425}",20,0,-102.23101714122444,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.18, 'e': 0.9987502603949663}",25,0,-154.57788690997506,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.18, 'e': 0.9984878812375985}",35,0,-199.65568738516308,"{0: 18, 1: 5, 2: 8, 3: 2, 4: 2}",0
12,False,"{'a': 0.18, 'e': 0.9982005399352042}",25,8,-49.2641132654169,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.18, 'e': 0.9978882436713011}",30,0,-139.3543958743075,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.18, 'e': 0.9975510002532796}",30,0,-184.08318829310744,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.18, 'e': 0.9971888181122075}",20,0,-137.26833213716588,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
16,False,"{'a': 0.18, 'e': 0.9968017063026194}",20,0,-7.100472740309575,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.18, 'e': 0.9963896745022904}",30,0,-251.41574027846087,"{0: 15, 1: 5, 2: 4, 3: 2, 4: 4}",0
18,False,"{'a': 0.18, 'e': 0.9959527330119943}",25,0,-185.56579529764107,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
19,False,"{'a': 0.18, 'e': 0.9954908927552453}",20,0,-181.60156930008665,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
20,False,"{'a': 0.18, 'e': 0.9950041652780257}",25,0,-116.99528447477502,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
21,False,"{'a': 0.18, 'e': 0.9944925627484974}",25,0,-174.9786548206182,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
22,False,"{'a': 0.18, 'e': 0.9939560979566968}",25,0,-124.41069641124577,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
23,False,"{'a': 0.18, 'e': 0.9933947843142158}",20,0,-22.817930294067583,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.18, 'e': 0.9928086358538663}",20,0,-137.16333608460204,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
25,False,"{'a': 0.18, 'e': 0.992197667229329}",20,0,-83.8877117343071,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.18, 'e': 0.9915618937147881}",25,0,-85.96705008368312,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.18, 'e': 0.9909013312045479}",25,0,-164.40495116933945,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
28,False,"{'a': 0.18, 'e': 0.9902159962126371}",20,0,-55.70709835147795,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.18, 'e': 0.9895059058723947}",25,0,-54.04905225341148,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.18, 'e': 0.9887710779360422}",25,0,-108.41459250263966,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.18, 'e': 0.9880115307742399}",30,0,-164.5500610463786,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.18, 'e': 0.9872272833756269}",20,0,-55.80322358719102,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.18, 'e': 0.9864183553463477}",25,0,-61.53634255010897,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.18, 'e': 0.9855847669095608}",25,0,-198.47777023398905,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
35,False,"{'a': 0.18, 'e': 0.9847265389049334}",20,0,-142.3879689539899,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.18, 'e': 0.9838436927881214}",25,0,-52.79483685690591,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.18, 'e': 0.9829362506302315}",20,0,-95.00715105680557,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.18, 'e': 0.9820042351172703}",20,0,-19.22389425384938,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.18, 'e': 0.9810476695495772}",30,0,-163.93182991662303,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
40,False,"{'a': 0.18, 'e': 0.9800665778412416}",35,0,-214.45525164582904,"{0: 15, 1: 8, 2: 9, 3: 1, 4: 2}",0
41,False,"{'a': 0.18, 'e': 0.9790609845195051}",25,0,-55.70913147438475,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.18, 'e': 0.9780309147241483}",20,0,-22.737734555253343,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.18, 'e': 0.9769763942068623}",20,0,-83.89199299427655,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.18, 'e': 0.9758974493306055}",25,0,-96.42310614032102,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.18, 'e': 0.9747941070689433}",25,0,-189.29469809449427,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
46,False,"{'a': 0.18, 'e': 0.9736663950053749}",20,10,18.606288829283116,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.18, 'e': 0.972514341332643}",30,15,-74.25580996369686,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 1}",1
48,False,"{'a': 0.18, 'e': 0.9713379748520297}",25,0,-211.22125391277052,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
49,False,"{'a': 0.18, 'e': 0.9701373249726354}",25,0,-67.58059322780895,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
50,False,"{'a': 0.18, 'e': 0.9689124217106447}",30,0,-124.20785012202937,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.18, 'e': 0.9676632956885756}",20,0,-119.21605694915195,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.18, 'e': 0.9663899781345132}",25,0,-147.40003840869062,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.18, 'e': 0.9650925008813303}",25,0,-53.42329137840476,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.18, 'e': 0.9637708963658905}",20,0,-103.33428016564012,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.18, 'e': 0.962425197628238}",25,0,-123.33537247713906,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
