trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.18, 'e': 0.99}",20,2,-81.55873149815207,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 0}",1
2,False,"{'a': 0.18, 'e': 0.9801}",25,0,-50.56711927201796,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.18, 'e': 0.970299}",20,10,-14.910547757435504,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.18, 'e': 0.96059601}",30,0,-130.87635170997507,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
5,False,"{'a': 0.18, 'e': 0.9509900498999999}",20,0,-72.27434132075956,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.18, 'e': 0.941480149401}",30,0,-127.5145705070217,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.18, 'e': 0.9320653479069899}",25,0,-47.319211588025105,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.18, 'e': 0.9227446944279201}",25,0,-79.25881343412486,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.18, 'e': 0.9135172474836408}",20,0,-16.61321198798739,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.18, 'e': 0.9043820750088044}",25,0,-137.56086087583995,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.18, 'e': 0.8953382542587164}",20,0,-124.48621260189475,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.18, 'e': 0.8863848717161292}",20,0,-54.569813105721956,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.18, 'e': 0.8775210229989678}",20,0,-18.021801075258598,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.18, 'e': 0.8687458127689782}",20,0,-92.43879154522666,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.18, 'e': 0.8600583546412884}",30,0,-153.46503841186944,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.18, 'e': 0.8514577710948755}",25,0,-102.07274205638497,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.18, 'e': 0.8429431933839268}",30,0,-75.1394946925136,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.18, 'e': 0.8345137614500875}",25,0,-40.937853254161155,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.18, 'e': 0.8261686238355866}",20,0,-44.529586667249134,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.18, 'e': 0.8179069375972308}",20,0,-118.18578356008449,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.18, 'e': 0.8097278682212584}",20,0,-27.14948129770449,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.18, 'e': 0.8016305895390459}",25,0,-65.84956989996331,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.18, 'e': 0.7936142836436554}",25,0,-177.20178422923726,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.18, 'e': 0.7856781408072188}",20,0,-29.284662078101086,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.18, 'e': 0.7778213593991467}",30,0,-71.69695703612118,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.18, 'e': 0.7700431458051551}",25,0,-59.15500009978124,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.18, 'e': 0.7623427143471035}",30,0,-198.17291323748563,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
28,False,"{'a': 0.18, 'e': 0.7547192872036326}",25,0,-131.16725667666378,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.18, 'e': 0.7471720943315961}",25,0,-86.11555408919205,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.18, 'e': 0.7397003733882802}",30,0,-99.31567963347447,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
31,False,"{'a': 0.18, 'e': 0.7323033696543975}",35,0,-129.64429879916747,"{0: 26, 1: 0, 2: 3, 3: 5, 4: 1}",0
32,False,"{'a': 0.18, 'e': 0.7249803359578534}",25,0,-88.58083530778465,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.18, 'e': 0.7177305325982749}",20,4,-55.73669222056431,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
34,False,"{'a': 0.18, 'e': 0.7105532272722921}",20,0,-58.12761851503332,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.18, 'e': 0.7034476949995692}",20,0,-39.205057783674796,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.18, 'e': 0.6964132180495735}",20,0,-36.758535369864006,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.18, 'e': 0.6894490858690777}",25,0,-85.37318170119848,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
38,False,"{'a': 0.18, 'e': 0.682554595010387}",20,0,-43.755572308797476,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.18, 'e': 0.6757290490602831}",20,0,-14.951812033233349,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.18, 'e': 0.6689717585696803}",30,0,-76.58689547977298,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
41,False,"{'a': 0.18, 'e': 0.6622820409839835}",25,0,-52.3950466323512,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.18, 'e': 0.6556592205741436}",20,0,-94.02611794333049,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
43,False,"{'a': 0.18, 'e': 0.6491026283684022}",25,0,-136.8138547495312,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.18, 'e': 0.6426116020847181}",25,0,-94.01271641588603,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
45,False,"{'a': 0.18, 'e': 0.6361854860638709}",20,0,-88.76430368459935,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
46,False,"{'a': 0.18, 'e': 0.6298236312032323}",20,10,7.936740463203887,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.18, 'e': 0.6235253948912}",25,0,-63.239448588056185,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
48,False,"{'a': 0.18, 'e': 0.617290140942288}",25,0,-12.585382770893855,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.18, 'e': 0.611117239532865}",20,0,19.31382336334402,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.18, 'e': 0.6050060671375364}",25,0,-86.30514153495061,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.18, 'e': 0.598956006466161}",25,0,-27.631954369687584,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.18, 'e': 0.5929664464014994}",35,0,-81.51015954828026,"{0: 27, 1: 0, 2: 6, 3: 1, 4: 1}",0
53,False,"{'a': 0.18, 'e': 0.5870367819374844}",20,0,-48.24954409960437,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.18, 'e': 0.5811664141181095}",25,0,-10.07528590220808,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.18, 'e': 0.5753547499769285}",20,5,-54.993044515466906,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
56,False,"{'a': 0.18, 'e': 0.5696012024771592}",25,0,-86.52503029453445,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.18, 'e': 0.5639051904523875}",20,0,-53.335072411293,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.18, 'e': 0.5582661385478637}",20,0,-74.67329930187552,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.18, 'e': 0.5526834771623851}",20,6,-11.932066439778014,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.18, 'e': 0.5471566423907612}",20,8,-63.1718806319869,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
61,False,"{'a': 0.18, 'e': 0.5416850759668536}",30,0,-129.8978766486965,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.18, 'e': 0.536268225207185}",25,0,-63.96310870445774,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.18, 'e': 0.5309055429551132}",30,7,-94.81067122840173,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
64,False,"{'a': 0.18, 'e': 0.525596487525562}",30,0,-152.65763265224442,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
65,False,"{'a': 0.18, 'e': 0.5203405226503064}",25,0,-47.62265082071826,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.18, 'e': 0.5151371174238033}",20,0,-67.59938811881779,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.18, 'e': 0.5099857462495653}",30,1,-119.03260385769353,"{0: 21, 1: 3, 2: 1, 3: 2, 4: 2}",1
68,False,"{'a': 0.18, 'e': 0.5048858887870696}",20,0,-28.268420885888364,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
69,False,"{'a': 0.18, 'e': 0.4998370298991989}",25,15,9.911638912781555,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.18, 'e': 0.49483865960020695}",20,14,-11.042367283390808,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
