trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41990263987529,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.75443909976525,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,4,-124.92726489678142,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.36213138711207,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.9133422234984,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,5,-33.81767244667134,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.97182825478602,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.65540685219594,"{0: 6, 1: 3, 2: 7, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.52682972452358,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.8270961255842,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,1,-108.39009146136448,"{0: 11, 1: 5, 2: 0, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.3243109414579,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.86151496911702,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-97.40129978594246,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,22,-7.392535043752778,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.07224656493945,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.33671147634075,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.563388175988653,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.87884355759027,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.46631359163246,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-68.7465917870489,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.9370337325567,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,14,-47.601485530313305,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.65576763361227,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.03880008448326,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.59894019177844,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-169.14408662089255,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 4}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.48451258543801,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.38609085560313,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.97748597674192,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
